book_name,book_image,author,page,release_date,short_description,price,programming_language,concept,tool
Learning Ionic - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5411.png,By Arvind Ravulavaru,378.0,Apr 2017,Create real-time hybrid applications with the leader of HTML5 frameworks: Ionic Framework,$35.99,JavaScript,Cross Platform Mobile Development,Ionic
Ionic Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04291_7978os.jpg,By Hoc Phan,264.0,Oct 2015,Over 35 exciting recipes to spice up your application development with Ionic,$35.99,JavaScript,Cross Platform Mobile Development,Ionic
"Ionic Framework By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/7/2720os_4680_ionic20framework20by20example.jpg,By Sani Yusuf,158.0,Jan 2016,""Build amazing cross-platform mobile apps with Ionic, the HTML5 framework that makes modern mobile ap..."",$20.99,JavaScript,Cross Platform Mobile Development,Ionic"
"Hybrid Mobile Development with Ionic,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785286056.png,By Gaurav Saini,242.0,Apr 2017,""Build a complete, professional-quality, hybrid mobile application with Ionic"",$31.99,JavaScript,Cross Platform Mobile Development,Ionic"
"Ionic 2 Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3739os_5467_ionic20220blueprints.jpg,By Indermohan Singh,336.0,Aug 2016,""Build real-time, scalable, and interactive mobile apps with the Ionic framework"",$35.99,JavaScript,Cross Platform Mobile Development,Ionic"
"Ionic: Hybrid Mobile App Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/0/c07185_mockupcover_low.png,By Rahat Khanna,544.0,Jun 2017,""An end-to-end journey, empowering you to build real-time, scalable, and interactive mobile applicati..."",$63.99,JavaScript,Cross Platform Mobile Development,Ionic"
Learning Ionic,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/6/2603os.jpg,By Arvind Ravulavaru,388.0,Jul 2015,Discover a simpler approach to modern mobile application development with Ionic framework and learn ...,$35.99,JavaScript,Cross Platform Mobile Development,Ionic
jQuery Mobile Web Development Essentials - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img5055.jpg,By Raymond Camden,266.0,Mar 2016,Build a powerful and practical jQuery-based framework in order to create mobile-optimized websites,$35.99,JavaScript,Cross Platform Mobile Development,jQuery Mobile
"Creating Mobile Apps with jQuery Mobile,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0069os.jpg,By Shane Gliser,254.0,Apr 2013,""By the time you�ve completed the 10 projects in this book, you�ll be a dab hand at using jQuery Mobi..."",$26.99,JavaScript,Cross Platform Mobile Development,jQuery Mobile"
Mastering jQuery Mobile,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/0/9084ot_mastering20jquery20mobile_.jpg,By Chip Lambert,262.0,Jul 2015,Design and develop cutting-edge mobile web applications using jQuery Mobile to work across a number ...,$39.99,JavaScript,Cross Platform Mobile Development,jQuery
jQuery Mobile First Look,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/9/5900_jquery20mobile.jpg,By Giulio Bai,216.0,Jun 2011,Discover the endless possibilities offered by jQuery Mobile for rapid Mobile Web Development,$23.99,JavaScript,Cross Platform Mobile Development,jQuery
Creating Mobile Apps with jQuery Mobile - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/1/5116os_creating20mobile20apps20with20jquery20mobile20second20edition_cov.jpg,By Andy Matthews,288.0,Feb 2015,Create fully responsive and versatile real-world apps for smartphones with jQuery Mobile 1.4.5,$26.99,JavaScript,Cross Platform Mobile Development,jQuery
Learning Node.js for Mobile Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04653_learning20node.js20for20mobile20application20development_.jpg,By Stefan Buttigieg,248.0,Oct 2015,Make use of Node.js to learn the development of a simple yet scalable cross-platform mobile applicat...,$39.99,JavaScript,Cross Platform Mobile Development,Node.js
PhoneGap for Enterprise,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/7/4751os_phonegap20for20enterprise.jpg,By Kerri Shotts,192.0,Dec 2014,Master the art of building secure enterprise mobile applications using PhoneGap,$17.99,JavaScript,Cross Platform Mobile Development,Node.js
JavaScript Mobile Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/1/4171os_javascript20mobile20application20development_cover.jpg,By Hazem Saleh,332.0,Oct 2014,Create neat cross-platform mobile apps using Apache Cordova and jQuery Mobile,$26.99,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap 3 Beginner's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/9/0984os_mockup_bg.jpg,By Giorgio Natili,308.0,Sep 2013,PhoneGap opens up mobile application development to more people by using HTML and JavaScript. This b...,$26.99,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/3/5318os.jpg,By Andrey Kovalenko,368.0,Aug 2015,Use PhoneGap to apply web development skills and learn variety of cross-platform mobile applications,$35.99,JavaScript,Cross Platform Mobile Development,PhoneGap
Mastering PhoneGap Mobile Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8434os_2066_mastering20phonegap20mobile20application20development.jpg,By Kerri Shotts,392.0,Feb 2016,Take your PhoneGap experience to the next level and create engaging real-world applications,$34.99,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap and AngularJS for Cross-platform Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/9/8921os20phonegap20and20angularjs20for20cross-platform20development.jpg,By Yuxian,122.0,Oct 2014,Build exciting cross-platform applications using PhoneGap and AngularJS,$19.99,JavaScript,Cross Platform Mobile Development,PhoneGap
PhoneGap Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/6/4687os.jpg,By Ivan Turkovic,178.0,Sep 2015,Use PhoneGap to build cross-platform mobile applications quickly and efficiently,$24.99,JavaScript,Cross Platform Mobile Development,PhoneGap
"PhoneGap: Beginner's Guide - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/2/2284os_phonegap20beginner27s20guide_third20edition.jpg,By Purusothaman Ramanujam,284.0,Jul 2015,""Create, develop, debug, and deploy your very own mobile applications with PhoneGap"",$35.99,JavaScript,Cross Platform Mobile Development,PhoneGap"
React Native Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788991926-original_71.png,By Daniel Ward,592.0,Jan 2019,Improve your React Native mobile development skills and transition from web to mobile development wi...,$27.99,JavaScript,Cross Platform Mobile Development,React Native
Mastering React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/7/5785cov_.jpg,By Eric Masiello,496.0,Jan 2017,Leverage frontend development skills to build impressive iOS and Android applications with React Nat...,$35.99,JavaScript,Cross Platform Mobile Development,React Native
React Native By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05604.png,By Richard Kho,414.0,Apr 2017,Leverage the full potential of the React Native framework to build and deploy your own native mobile...,$35.99,JavaScript,Cross Platform Mobile Development,React Native
React Native Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06647.png,By Emilio Rodriguez Martinez,346.0,Nov 2017,Develop real world Android and iOS applications with the power of React native.,$35.99,JavaScript,Cross Platform Mobile Development,React Native
Getting Started with React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/1/5181os_5162_getting20started20with20react20native.jpg,By Ethan Holmes,172.0,Dec 2015,Learn to build modern native iOS and Android applications using JavaScript and the incredible power ...,$23.99,JavaScript,Cross Platform Mobile Development,React Native
React: Cross-Platform Application Development with React Native,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10471.png,By Emilio Rodriguez Martinez,182.0,Mar 2018,Harness the power of React Native to build 4 real-world apps,$31.99,JavaScript,Cross Platform Mobile Development,React Native
React Native - Building Mobile Apps with JavaScript,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06928.png,By Vladimir Novick,434.0,Aug 2017,Your go-to guide to creating truly native iOS and Android mobile applications using React and JavaSc...,$35.99,JavaScript,Cross Platform Mobile Development,React Native
Sencha Touch 2 Mobile JavaScript Framework,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/7/0748os.jpg,By John Earl Clark,324.0,Nov 2013,Your knowledge of HTML and CSS is a door to the world of mobile web apps thanks to this handy guide ...,$29.99,JavaScript,Cross Platform Mobile Development,Sencha Touch
"Creating Mobile Apps with Sencha Touch 2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/9/8901os_cov.jpg,By John Earl Clark,348.0,Apr 2013,""If you have basic to intermediate knowledge of Sencha Touch, this tutorial will give you a deep insi..."",$26.99,JavaScript,Cross Platform Mobile Development,Sencha Touch"
Sencha Touch Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5443exp_sencha20touch20cookbook.jpg,By Ajit Kumar,350.0,Dec 2011,Over 100 recipes for creating HTML5-based cross-platform apps for touch devices with this book and e...,$26.99,JavaScript,Cross Platform Mobile Development,Sencha Touch
Sencha Touch Mobile JavaScript Framework,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/1/5108os.jpg,By John Earl Clark,316.0,Feb 2012,Build web applications for Apple iOS and Google Android touchscreen devices with this first HTML5 mo...,$26.99,JavaScript,Cross Platform Mobile Development,Sencha Touch
Data Visualization with D3 and AngularJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8484os.jpg,By Christoph Körner,278.0,Apr 2015,Build dynamic and interactive visualizations from real-world data with D3 on AngularJS,$35.99,JavaScript,Data Visualization,Angular
"Data Visualization with D3.js Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781782162162.png,By Nick Zhu,338.0,Oct 2013,""Turn your digital data into dynamic graphics with this exciting, leading-edge cookbook. Packed with ..."",$26.99,JavaScript,Data Visualization,D3"
Data Visualization with D3 4.x Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05530.png,By Nick Zhu,370.0,Feb 2017,Discover over 65 recipes to help you create breathtaking data visualizations using the latest featur...,$35.99,JavaScript,Data Visualization,D3
D3.js 4.x Data Visualization - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781787120358.png,By Ændrew Rininsland,308.0,Apr 2017,Create and publish your own interactive and compelling data visualizations with D3.js 4.x,$31.99,JavaScript,Data Visualization,D3
HTML5 Graphing and Data Visualization Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3707ot.jpg,By Ben Fhala,344.0,Nov 2012,Get a complete grounding in the exciting visual world of Canvas and HTML5 using this recipe-packed c...,$29.99,JavaScript,Data Visualization,D3
Learning Responsive Data Visualization,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/7/3781os_5166_learning20responsive20data20visualization.jpg,By Christoph Körner,258.0,Mar 2016,Master the art of building responsive visualizations on the Web,$35.99,JavaScript,Data Visualization,D3
Learning D3.js 5 Mapping - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover20-20copy_6388_0.png,By Thomas Newton,298.0,Nov 2017,Crisp and concise guide on building impressive maps as well as visualizations with D3 a JavaScript l...,$31.99,JavaScript,Data Visualization,D3
Data Visualization with d3.js,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0007os.jpg,By Swizec Teller,194.0,Oct 2013,Inject new life into your data with this mini-guide that takes you through all the essentials of dat...,$17.99,JavaScript,Data Visualization,D3
Learning D3.js Mapping,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5609os_b01690_learning_d3.js20mapping.jpg,By Thomas Newton,126.0,Dec 2014,Build stunning maps and visualizations using D3.js,$14.99,JavaScript,Data Visualization,D3
Social Data Visualization with HTML5 and JavaScript,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/5/6542os_cov.jpg,By Simon Timms,104.0,Sep 2013,The data on social networks is growing at an incredible pace and the best way to make sense of it is...,$17.99,JavaScript,Data Visualization,D3
Expert Data Visualization,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05732.png,By Jos Dirksen,394.0,Apr 2017,Breathe life into your data by learning how to use D3.js V4 to visualize information,$39.99,JavaScript,Data Visualization,D3
D3.js By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0085os_4230_d3.js20by20example.jpg,By Michael Heydt,304.0,Dec 2015,Create attractive web-based data visualizations using the amazing JavaScript library D3.js,$35.99,JavaScript,Data Visualization,D3
"Data Visualization: Representing Information on Modern Web,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/0/c06107_data20visualization_mockupcover_low.jpg,By Andy Kirk,531.0,Sep 2016,""Unleash the power of data by creating interactive, engaging, and compelling visualizations for the w..."",$69.99,JavaScript,Data Visualization,D3"
FusionCharts Beginner's Guide: The Official Guide for FusionCharts Suite,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/7/1765exp_fusioncharts20beginnere28099s20guide_cov.jpg,By Sanket Nadhani,252.0,Apr 2012,Create interactive charts in JavaScript (HTML5) and Flash for your web and enterprise applications w...,$26.99,JavaScript,Data Visualization,FusionCharts
Google Visualization API Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/3/4360ot.jpg,By Traci L. Ruthkoski,252.0,Apr 2013,Make sense of your data: make it visual with the Google Visualization API,$26.99,JavaScript,Data Visualization,Google Visualization API
"Learning Highcharts,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/0/9083os_learning20highcharts20by20example.jpg,By Joe Kuan,362.0,Dec 2012,""Whether you’re a novice or an advanced web developer, this practical tutorial will enable you to pro..."",$26.99,JavaScript,Data Visualization,Highcharts"
"Learning Highcharts 4,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/4/7451os_learning20highcharts204_frontcov_0.jpg,By Joe Kuan,478.0,Jan 2015,""Design eye-catching and interactive JavaScript charts for your web page with Highcharts, one of the ..."",$26.99,JavaScript,Data Visualization,Highcharts"
Kibana Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/9/4936os_3766_kibana20essentials.jpg,By Yuvraj Gupta,206.0,Nov 2015,Use the functionalities of Kibana to discover data and build attractive visualizations and dashboard...,$28.99,JavaScript,Data Visualization,Kibana
OpenLayers 3.x Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/7/7756os_4838_openlayers203.x20cookbook.jpg,By Peter J. Langley,304.0,Mar 2016,Over 50 comprehensive recipes to help you create spectacular maps with OpenLayers 3,$35.99,JavaScript,Data Visualization,OpenLayers
Sencha Charts Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9767os.jpg,By Ajit Kumar,214.0,May 2015,Create stunning charts and visualizations for both web and mobile applications,$19.99,JavaScript,Data Visualization,Sencha Touch
Socket.IO Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/8/0865os.jpg,By Tyson Cadenhead,184.0,Oct 2015,Over 40 recipes to help you create real-time JavaScript applications using the robust Socket.IO fram...,$23.99,JavaScript,Data Visualization,Socket.io
Learn Three.js - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788833288-original.png,By Jos Dirksen,528.0,Aug 2018,Create and animate stunning 3D browser based graphics with Three.js JavaScript library,$35.99,JavaScript,Data Visualization,Three.js
"Three.js Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/1/3144_three.js20cookbook.jpg,By Jos Dirksen,300.0,Jan 2015,""Over 80 shortcuts, solutions, and recipes that allow you to create the most stunning visualizations ..."",$29.99,JavaScript,Data Visualization,Three.js"
Learning Three.js - the JavaScript 3D Library for WebGL (Second Edition),www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/2/2215os.jpg,By Jos Dirksen,422.0,Mar 2015,Create stunning 3D graphics in your browser using the Three.js JavaScript library,$39.99,JavaScript,Data Visualization,Three.js
"Learning Three.js: The JavaScript 3D Library for WebGL,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/2/6283os.jpg,By Jos Dirksen,402.0,Oct 2013,""Three.js makes creating 3D computer graphics on a web browser a piece of proverbial cake, and this p..."",$29.99,JavaScript,Data Visualization,Three.js"
Learning Angular - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781839210662-original_353.jpeg,By Aristeidis Bampakos,430.0,Sep 2020,Uncover Angular’s potential for creating enterprise web applications—from setting up the environment...,$24.99,JavaScript,Front End Web Development,Angular
"Architecting Angular Applications with Redux, RxJS, and NgRx,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07031_cover.png,By Christoffer Noring,364.0,Mar 2018,""Manage state in Angular to write high performing web apps by combining the power of Flux, RxJS, and ..."",$35.99,JavaScript,Front End Web Development,Angular"
"Angular 6 by Example - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b09551_cover.png,By Chandermani Arora,504.0,Jun 2018,""Harness the power of Angular Components, Router, Forms, Directives and much more to build profession..."",$35.99,JavaScript,Front End Web Development,Angular"
Mastering Angular Components - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07253_mockupcover.png,By Gion Kunz,402.0,Jul 2018,Develop modern user interfaces using Angular 6 and its component-based architecture.,$31.99,JavaScript,Front End Web Development,Angular
"Expert Angular,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/c/o/cover_5070.png,By Mathieu Nayrolles,454.0,Jul 2017,""Learn everything you need to build highly scalable, robust web applications using Angular 4"",$39.99,JavaScript,Front End Web Development,Angular"
Mastering Angular 2 Components,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785884641.png,By Gion Kunz,372.0,Jun 2016,Learn to build component-based user interfaces of the future using Angular 2,$35.99,JavaScript,Front End Web Development,Angular
Angular 2 Components,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/3/2340os_b05076_angular20220components.png,By Nir Kaufman,124.0,Nov 2016,A quick and concise guide to Angular 2 Components,$23.99,JavaScript,Front End Web Development,Angular
Angular Services,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05074.png,By Sohail Salehi,294.0,Feb 2017,Design state-of-the-art applications with customized Angular services,$31.99,JavaScript,Front End Web Development,Angular
"Learning Web Development with Bootstrap and AngularJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/5/7550os_learning20web20developement20with20bootstrap20and20angular.js_.jpg,By Stephen Radford,224.0,May 2015,""Build your own web app with Bootstrap and AngularJS, utilizing the latest web technologies"",$39.99,JavaScript,Front End Web Development,Angular"
Learning Angular - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06169_cover.png,By Christoffer Noring,456.0,Dec 2017,Build modern SPAs by learning the latest and powerful features of Angular 5 and TypeScript 2.x,$35.99,JavaScript,Front End Web Development,Angular
AngularJS Directives Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b04051_cover.png,By Fernando Monteiro,206.0,Nov 2015,Extend the capabilities of AngularJS and build dynamic web applications by creating customized direc...,$31.99,JavaScript,Front End Web Development,Angular
Building Modern Web Applications Using Angular 4,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785880728.png,By Shravan Kumar Kasagoni,226.0,May 2017,Design and develop next generation web applications using Angular 2 and Angular 4,$31.99,JavaScript,Front End Web Development,Angular
"AngularJS by Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b03520_cover.png,By Chandermani Arora,454.0,Mar 2015,""Tackle the challenges of modern web development with this AngularJS tutorial, packed with practical ..."",$24.99,JavaScript,Front End Web Development,Angular"
"Switching to Angular - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b09239_cover.png,By Minko Gechev,280.0,Oct 2017,""Switching to Angular, Third Edition is the go-to book to align and get started with the Angular Java..."",$23.99,JavaScript,Front End Web Development,Angular"
Angular Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838559359-original_96.jpeg,By Zama Khan Mohammed,350.0,Sep 2019,Understand Angular web development by building real-world captivating applications exploring various...,$27.99,JavaScript,Front End Web Development,Angular
Hands-on Full Stack Development with Angular 5 and Firebase,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07730_cover.png,By Uttam Agarwal,256.0,Feb 2018,Build an end-to-end application from development to production by binding Angular with Firebase in t...,$31.99,JavaScript,Front End Web Development,Angular
Angular 2 By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/1/7192os_5079_angular20220by20example.png,By Chandermani Arora,510.0,Nov 2016,Discover everything you need to know to build your own Angular 2 applications the hands-on way,$35.99,JavaScript,Front End Web Development,Angular
Getting Started with Angular - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06166.png,By Minko Gechev,278.0,Mar 2017,Fast-track your web development skills to build high performance SPA with Angular 2 and beyond,$27.99,JavaScript,Front End Web Development,Angular
"AngularJS: Maintaining Web Applications,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/a/n/angularjs_course20front20cover.jpg,By Rodrigo Branas,1010.0,Apr 2016,""Get started with speed building AngularJS applications, and scale up to a full-stack web application..."",$59.99,JavaScript,Front End Web Development,Angular"
AngularJS Web Application Development Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5617os_angularjs20web20application20development20blueprints_frontcover.jpg,By Vinci Rufus,300.0,Aug 2014,A practical guide to developing powerful web applications with AngularJS,$29.99,JavaScript,Front End Web Development,AngularJS
AngularJS Directives,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/3/0339os.jpg,By Alex Vanston,110.0,Sep 2013,Intermediate JavaScript developers could take a big step forward with this essential step-by-step tu...,$19.99,JavaScript,Front End Web Development,AngularJS
Data-oriented Development with AngularJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/0/8057os_data20oriented20development20with20angularjs.jpg,By Manoj Waikar,156.0,Apr 2015,Write DSLs for your user interface code using AngularJS directives and add real-time capabilities to...,$19.99,JavaScript,Front End Web Development,AngularJS
"AngularJS Services,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/5/3568os_cov.jpg,By Jim Lavin,152.0,Aug 2014,""Design, build, and test services to create a foundation for your AngularJS applications"",$16.99,JavaScript,Front End Web Development,AngularJS"
"AngularJS Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/0/0086os_angularjs20essentials_mini.jpg,By Rodrigo Branas,180.0,Aug 2014,""Design and construct reusable, maintainable, and modular web applications with AngularJS."",$20.99,JavaScript,Front End Web Development,AngularJS"
AngularJS Deployment Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/5/3582os_b00110_angularjs20deployment20essentials.jpg,By Zachariah Moreno,148.0,Feb 2015,Learn how to optimally deploy your AngularJS applications to today's top hosting environments,$14.99,JavaScript,Front End Web Development,AngularJS
Mastering Web Application Development with AngularJS,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/8/1820os.jpg,By Peter Bacon Darwin,372.0,Aug 2013,Streamline your web applications with this hands-on course. From initial structuring to full deploym...,$26.99,JavaScript,Front End Web Development,AngularJS
Backbone.js Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/9/6997os.jpg,By Andrew Burgess,256.0,May 2014,Everything you need to know about building front end apps in Backbone.js is contained in this book. ...,$29.99,JavaScript,Front End Web Development,Backbone.js
Mastering Backbone.js,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/4/8496_1962os_mastering20backbone.jpg,By Abiee Echamea,278.0,Jan 2016,Design and build scalable web applications using Backbone.js,$39.99,JavaScript,Front End Web Development,Backbone.js
"Getting Started with Backbone Marionette,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/2/4252os_20mini_cover.jpg,By Raymundo Armendariz,94.0,Jan 2014,""If you know JavaScript and a little Backbone.js, this book is just what you need to move your speed ..."",$17.99,JavaScript,Front End Web Development,Backbone.js"
Backbone.js Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/7/4790os_backbone.js20essentials.jpg,By Jeremy Walker,180.0,May 2015,Build amazing high-performance web applications using Backbone.js,$19.99,JavaScript,Front End Web Development,Backbone.js
"Backbone.js Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/7/2728os_cov.jpg,By Vadim Mirgorod,282.0,Aug 2013,""For JavaScript developers the Backbone.js framework is full of potential. This book, with its access..."",$26.99,JavaScript,Front End Web Development,Backbone.js"
Mastering Ext JS - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/4/0457ot_b03756_mastering20ext20js20second20edition_frontcov.jpg,By Loiane Groner,400.0,Feb 2015,Learn how to develop advanced and efficient Internet applications with Ext JS,$29.99,JavaScript,Front End Web Development,Ext JS
Ext JS 3.0 Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/7/8709_mockupcover_cookbook.jpg,By Jorge Ramon,376.0,Oct 2009,Clear step-by-step recipes for building impressive rich internet applications using the Ext JS JavaS...,$29.99,JavaScript,Front End Web Development,Ext JS
Ext JS Data-driven Application Design,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/4/5446os_20extjs20data-driven20application20design.jpg,By Kazuhiro Kotsutsumi,162.0,Dec 2013,Learn how to build a user-friendly database in Ext JS using data from an existing database with this...,$20.99,JavaScript,Front End Web Development,Ext JS
"Learning Ext JS 3.2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/2/1209os_mockupcover.jpg,By Shea Frederick,432.0,Oct 2010,""Build dynamic, desktop-style user interfaces for your data-driven web applications using Ext JS"",$26.99,JavaScript,Front End Web Development,Ext JS"
"Ext.NET Web Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/2/3240ot_ext.net20web20application20develpoment_0.jpg,By Anup Shah,410.0,Nov 2012,""If you�re looking to build .NET based rich internet applications, look no further. This is the ideal..."",$32.99,JavaScript,Front End Web Development,Ext JS"
